row_id,drone_id,shot_index,missile_id,pc1_standardized_score,pc2_standardized_score
FY1-1,FY1,1,M1,-1.366053612860229,-0.30438992852033175
FY1-2,FY1,2,M1,-1.1891863229272244,-0.24967143913642229
FY1-3,FY1,3,M1,-1.0471025630874984,-0.2690023189316987
FY2-1,FY2,1,M2,-0.45007995848186655,0.8047359064598572
FY2-2,FY2,2,M1,-0.21348247023325403,1.047567137870958
FY2-3,FY2,3,M3,-0.8194578605206899,0.1147623550416948
FY3-1,FY3,1,M3,1.4731892690225552,-0.47735080642252103
FY3-2,FY3,2,M1,1.758691194721367,-0.4523059636173267
FY3-3,FY3,3,M2,1.6712469488109238,-0.5814148467597042
FY4-1,FY4,1,M2,0.2284945113772354,1.5341362243380054
FY4-2,FY4,2,M1,0.45627123284878596,1.6260835361288017
FY4-3,FY4,3,M3,0.1671760360807051,1.057246990622536
FY5-1,FY5,1,M3,-0.5951890449853338,-1.2979867482648664
FY5-2,FY5,2,M1,-0.006141239796272919,-0.9709733880961173
FY5-3,FY5,3,M2,-0.06837611996920903,-1.5814367107128713
