问题,浓度阈值,组别,推荐孕周,推荐时点,预测达标比例,相对基准变化天数
问题2,0.035,1,12.0,12w+0,0.9007,-10.0
问题2,0.035,2,13.1429,13w+1,0.9034,-10.0
问题2,0.035,3,14.4286,14w+3,0.9005,-13.0
问题2,0.035,4,17.4286,17w+3,0.9018,-16.0
问题3,0.035,1,12.4286,12w+3,0.9027,-10.0
问题3,0.035,2,13.5714,13w+4,0.9009,-12.0
问题3,0.035,3,14.7143,14w+5,0.9007,-12.0
问题3,0.035,4,17.2857,17w+2,0.9009,-17.0
问题2,0.04,1,13.4286,13w+3,0.9016,0.0
问题2,0.04,2,14.5714,14w+4,0.9003,0.0
问题2,0.04,3,16.2857,16w+2,0.902,0.0
问题2,0.04,4,19.7143,19w+5,0.9016,0.0
问题3,0.04,1,13.8571,13w+6,0.9033,0.0
问题3,0.04,2,15.2857,15w+2,0.9008,0.0
问题3,0.04,3,16.4286,16w+3,0.9003,0.0
问题3,0.04,4,19.7143,19w+5,0.902,0.0
问题2,0.045,1,15.5714,15w+4,0.9009,15.0
问题2,0.045,2,16.8571,16w+6,0.902,16.0
问题2,0.045,3,18.4286,18w+3,0.9002,15.0
问题2,0.045,4,21.8571,21w+6,0.9006,15.0
问题3,0.045,1,16.0,16w+0,0.903,15.0
问题3,0.045,2,17.5714,17w+4,0.9026,16.0
问题3,0.045,3,18.7143,18w+5,0.9002,16.0
问题3,0.045,4,21.8571,21w+6,0.9006,15.0
