变量,标准化系数,绝对系数
21号染色体的GC含量,-1.524372612311277,1.524372612311277
13号染色体的GC含量,1.1319239845427782,1.1319239845427782
X染色体浓度,-0.9737930364873483,0.9737930364873483
18号染色体的GC含量,0.599502997970534,0.599502997970534
年龄,-0.392009202535493,0.392009202535493
孕妇BMI,-0.35682284730309693,0.35682284730309693
孕周数值,0.27270145256612477,0.27270145256612477
重复读段的比例,-0.26237191841541485,0.26237191841541485
被过滤掉读段数的比例,0.2546287912850824,0.2546287912850824
在参考基因组上比对的比例,0.21330132629081536,0.21330132629081536
21号染色体的Z值,0.19907817791589447,0.19907817791589447
X染色体的Z值,-0.17466747762761367,0.17466747762761367
18号染色体的Z值,0.1411820532419115,0.1411820532419115
13号染色体的Z值,-0.124493413440016,0.124493413440016
GC含量,-0.09014246370736809,0.09014246370736809
唯一比对的读段数,-0.0659880749729851,0.0659880749729851
原始读段数,-0.038770237948620286,0.038770237948620286
