分数阈值,精确率,召回率,特异度,F1,假阳性数,假阴性数
0.05,0.11403508771929824,0.9701492537313433,0.06133828996282528,0.20408163265306123,505,2
0.1,0.1282051282051282,0.9701492537313433,0.17843866171003717,0.2264808362369338,442,2
0.15000000000000002,0.13822894168466524,0.9552238805970149,0.258364312267658,0.24150943396226415,399,3
0.2,0.15671641791044777,0.9402985074626866,0.36988847583643125,0.26865671641791045,339,4
0.25,0.17563739376770537,0.9253731343283582,0.4591078066914498,0.29523809523809524,291,5
0.3,0.1967741935483871,0.9104477611940298,0.5371747211895911,0.32360742705570295,249,6
0.35000000000000003,0.22014925373134328,0.8805970149253731,0.6115241635687733,0.3522388059701492,209,8
0.4,0.24017467248908297,0.8208955223880597,0.6765799256505576,0.3716216216216216,174,12
0.45,0.2561576354679803,0.7761194029850746,0.7193308550185874,0.3851851851851852,151,15
0.5,0.2857142857142857,0.746268656716418,0.7676579925650557,0.4132231404958678,125,17
0.55,0.31654676258992803,0.6567164179104478,0.8234200743494424,0.42718446601941745,95,23
0.6000000000000001,0.3504273504273504,0.6119402985074627,0.8587360594795539,0.44565217391304346,76,26
0.6500000000000001,0.375,0.5373134328358209,0.8884758364312267,0.44171779141104295,60,31
0.7000000000000001,0.4025974025974026,0.4626865671641791,0.9144981412639405,0.4305555555555556,46,36
0.7500000000000001,0.46296296296296297,0.373134328358209,0.9460966542750929,0.4132231404958678,29,42
0.8,0.5675675675675675,0.31343283582089554,0.9702602230483272,0.40384615384615385,16,46
0.8500000000000001,0.75,0.26865671641791045,0.9888475836431226,0.3956043956043956,6,49
0.9000000000000001,0.6923076923076923,0.13432835820895522,0.9925650557620818,0.225,4,58
0.9500000000000001,0.875,0.1044776119402985,0.9981412639405205,0.18666666666666668,1,60
